SNID,Julian Date,Magnitude,Magerr,Band,Ref
1983G,2445429.14,13,N/A,V        ,234
1983G,2445431.1,13,N/A,V        ,235
1983G,2445435.1,12.8,N/A,V        ,235
1983G,2445438.74,13.27,N/A,B ,236
1983G,2445438.74,12.83,N/A,V        ,236
1983G,2445438.74,13.48,N/A,U       ,236
1983G,2445438.74,0.44,N/A,(B-V)        ,236
1983G,2445438.74,0.21,N/A,(U-B)        ,236
1983G,2445440.84,13.48,N/A,B    ,236
1983G,2445440.84,12.95,N/A,V    ,236
1983G,2445440.84,13.79,N/A,U    ,236
1983G,2445440.84,0.53,N/A,(B-V)    ,236
1983G,2445440.84,0.31,N/A,(U-B)    ,236
1983G,2445434.4,13.4,N/A,pg       ,237
1983G,2445435.72,12.7,N/A,V        ,237
1983G,2445439.72,12.9,N/A,V        ,237
1983G,2445441.72,13.12,N/A,V        ,237
1983G,2445434.7,13.03,N/A,B   ,238
1983G,2445434.7,12.77,N/A,V   ,238
1983G,2445434.7,13.34,N/A,U   ,238
1983G,2445434.7,0.26,N/A,(B-V)   ,238
1983G,2445434.7,0.31,N/A,(U-B)   ,238
1983G,2445435.6,13.08,N/A,B        ,238
1983G,2445435.6,12.8,N/A,V        ,238
1983G,2445435.6,13.43,N/A,U        ,238
1983G,2445435.6,0.28,N/A,(B-V)        ,238
1983G,2445435.6,0.35,N/A,(U-B)        ,238
1983G,2445441.8,13.86,N/A,B   ,238
1983G,2445441.8,12.23,N/A,V        ,238
1983G,2445441.8,14.12,N/A,U        ,238
1983G,2445441.8,0.63,N/A,(B-V)        ,238
1983G,2445441.8,0.26,N/A,(U-B)        ,238
1983G,2445442.8,13.86,N/A,B       ,238
1983G,2445442.8,13.18,N/A,V        ,238
1983G,2445442.8,14.15,N/A,U        ,238
1983G,2445442.8,0.68,N/A,(B-V)        ,238
1983G,2445442.8,0.29,N/A,(U-B)        ,238
1983G,2445443.8,13.95,N/A,B     ,238
1983G,2445443.8,13.25,N/A,V       ,238
1983G,2445443.8,14.17,N/A,U        ,238
1983G,2445443.8,0.7,N/A,(B-V)        ,238
1983G,2445443.8,0.22,N/A,(U-B)        ,238
1983G,2445464.7,15.83,N/A,B     ,239
1983G,2445464.7,14.36,N/A,V        ,239
1983G,2445464.7,16.21,N/A,U        ,239
1983G,2445464.7,1.47,N/A,(B-V)        ,239
1983G,2445464.7,0.26,N/A,(U-B)        ,239
1983G,2445465.7,15.87,N/A,B    ,239
1983G,2445465.7,14.43,N/A,V        ,239
1983G,2445465.7,16.31,N/A,U        ,239
1983G,2445465.7,1.44,N/A,(B-V)        ,239
1983G,2445465.7,0.28,N/A,(U-B)        ,239
1983G,2445466.7,15.94,N/A,B   ,239
1983G,2445466.7,14.5,N/A,V        ,239
1983G,2445466.7,16.34,N/A,U        ,239
1983G,2445466.7,1.44,N/A,(B-V)         ,239
1983G,2445466.7,0.63,N/A,(U-B)       ,239
1983G,2445495.6,16.26,N/A,B   ,239
1983G,2445495.6,15.14,N/A,V   ,239
1983G,2445495.6,16.89,N/A,U   ,239
1983G,2445495.6,1.12,N/A,(B-V)   ,239
1983G,2445495.6,0.68,N/A,(U-B) ,239
